Rank,Institution,Count,Faculty
1,Carnegie Mellon University ,104,104
2,Cornell University ,64,55
3,Stanford University ,52.8,58
4,Univ. of Illinois at Urbana-Champaign ,45.5,55
5,University of Maryland - College Park ,44.1,52
6,Massachusetts Institute of Technology ,43.5,69
7,University of California - Berkeley ,39.9,58
8,Columbia University ,37,37
9,University of Michigan ,36.6,45
10,University of Massachusetts Amherst ,36.3,43
11,University of Washington ,34.5,41
12,University of California - Los Angeles ,34,26
13,University of Pennsylvania ,32.8,35
14,Georgia Institute of Technology ,31.7,52
15,University of California - San Diego ,31.2,46
16,Rutgers University ,26.9,34
17,University of Texas at Austin ,24.6,31
18,University of Southern California ,22.4,34
19,Northeastern University ,20.2,46
20,University of Pittsburgh ,20.1,20
21,New York University ,19.3,39
22,University of Illinois at Chicago ,19.1,26
23,Johns Hopkins University ,19,18
24,University of California - Santa Cruz ,18.5,24
25,Pennsylvania State University ,17.5,27
26,University of Texas at Dallas ,16.9,25
27,Duke University ,16.6,19
28,University of California - Irvine ,15.7,22
29,Brown University ,14.7,17
30,University of California - Santa Barbara ,13.8,27
31,Oregon State University ,13.6,15
32,University of Rochester ,13.5,15
32,Yale University ,13.5,20
34,Purdue University ,13.4,34
35,Harvard University ,13.3,21
36,Stony Brook University ,13.2,33
37,Princeton University ,12.6,30
38,University of North Carolina ,12.5,21
39,Texas A&M University ,12.4,24
40,University of Wisconsin - Madison ,12.3,35
41,University of Colorado Boulder ,12.1,27
42,Arizona State University ,11.9,15
43,University of Virginia ,10.9,29
44,Boston University ,10.7,21
45,University of Utah ,10.6,16
46,Northwestern University ,10.3,29
46,University at Buffalo ,10.3,24
48,Washington University in St. Louis ,9.9,16
49,University of Central Florida ,9.8,20
50,Ohio State University ,9.7,24
51,Michigan State University ,9.2,15
52,University of Minnesota ,9,21
53,Indiana University ,8.6,24
53,TTI Chicago ,8.6,10
55,Virginia Tech ,8.4,21
56,University of Delaware ,7.7,10
56,University of Texas at Arlington ,7.7,18
58,University of Notre Dame ,7.5,13
59,University of California - Davis ,7.4,11
60,George Mason University ,7.1,23
61,Temple University ,6.9,9
62,University of California - Riverside ,6.4,18
63,Brigham Young University ,6.1,16
64,California Institute of Technology ,5.9,12
65,Rice University ,5.7,10
66,Binghamton University ,5.4,10
66,University of Houston ,5.4,13
68,Worcester Polytechnic Institute ,5.2,17
69,University of California - Merced ,5,6
70,Stevens Institute of Technology ,4.9,11
70,Univ. of Maryland - Baltimore County ,4.9,10
72,Rochester Institute of Technology ,4.8,20
73,University of Arizona ,4.7,11
73,University of Kentucky ,4.7,11
75,Rensselaer Polytechnic Institute ,4.3,10
75,University of Iowa ,4.3,8
77,CUNY ,4.2,18
77,University of Connecticut ,4.2,9
79,University of Florida ,4.1,11
80,University of Oregon ,3.9,9
81,Brandeis University ,3.8,8
81,University of Chicago ,3.8,17
83,Case Western Reserve University ,3.7,8
84,Emory University ,3.6,11
84,University of South Carolina ,3.6,8
86,Lehigh University ,3.4,7
87,Georgetown University ,3.3,7
87,North Carolina State University ,3.3,17
89,Colorado School of Mines ,3.1,4
89,University at Albany - SUNY ,3.1,5
91,Iowa State University ,3,8
91,Washington State University ,3,7
93,Florida State University ,2.9,5
93,University of New Hampshire ,2.9,3
95,Colorado State University ,2.8,5
95,University of Georgia ,2.8,8
95,University of Massachusetts Lowell ,2.8,9
98,Florida Atlantic University ,2.7,5
98,George Washington University ,2.7,5
98,NJIT ,2.7,12
98,UNC - Charlotte ,2.7,9
102,University of Arkansas ,2.6,5
102,University of North Texas ,2.6,9
102,West Virginia University ,2.6,7
105,Illinois Institute of Technology ,2.5,4
105,Tufts University ,2.5,7
105,Tulane University ,2.5,6
105,UCCS ,2.5,5
105,University of New Mexico ,2.5,8
110,Syracuse University ,2.4,12
111,Drexel University ,2.3,4
111,University of Louisiana - Lafayette ,2.3,6
111,Vanderbilt University ,2.3,9
114,DePaul University ,2.2,8
115,University of Tennessee ,2.1,10
116,IUPUI ,2,7
116,University of Kansas ,2,3
116,University of Memphis ,2,6
116,University of Missouri ,2,8
116,University of Nebraska ,2,4
121,Florida International University ,1.9,7
121,Mississippi State University ,1.9,1
121,Ohio University ,1.9,4
121,Texas State University ,1.9,6
121,University of Tulsa ,1.9,4
126,University of Cincinnati ,1.8,5
127,Boston College ,1.7,4
127,New Mexico State University ,1.7,3
127,Portland State University ,1.7,3
127,University of Hawaii at Manoa ,1.7,6
127,University of Nevada ,1.7,5
127,University of South Florida ,1.7,4
127,Utah State University ,1.7,4
127,Wayne State University ,1.7,6
135,Clemson University ,1.6,7
135,Dartmouth College ,1.6,7
135,Kansas State University ,1.6,4
135,Kent State University ,1.6,2
135,Texas Tech University ,1.6,3
135,The University of Alabama ,1.6,3
135,University of Southern Mississippi ,1.6,2
135,University of Texas - El Paso ,1.6,4
135,Virginia Commonwealth University ,1.6,4
144,Auburn University ,1.5,3
144,Boise State University ,1.5,4
144,Michigan Technological University ,1.5,5
144,OHSU ,1.5,3
144,University of Massachusetts Boston ,1.5,3
144,University of Miami ,1.5,2
144,University of Nebraska - Omaha ,1.5,3
144,University of Wisconsin - Milwaukee ,1.5,4
152,College of William and Mary ,1.4,4
152,Georgia State University ,1.4,3
152,University of Oklahoma ,1.4,2
152,Western Michigan University ,1.4,1
156,Old Dominion University ,1.3,3
156,Towson University ,1.3,1
156,University of Alabama - Birmingham ,1.3,3
156,University of Louisville ,1.3,2
156,University of Wyoming ,1.3,1
161,Florida Institute of Technology ,1.2,1
161,Louisiana State University - Baton Rouge ,1.2,3
161,Naval Postgraduate School ,1.2,1
161,Oklahoma State University ,1.2,3
161,University of Michigan-Dearborn ,1.2,3
161,University of Texas at San Antonio ,1.2,3
167,Missouri University of Technology ,1.1,2
167,Northern Arizona University ,1.1,2
167,Nova Southeastern University ,1.1,1
167,University of Idaho ,1.1,1
167,University of Missouri - Kansas City ,1.1,1
167,University of Nevada Las Vegas ,1.1,1
173,Montana State University ,1,1
173,University of Alabama - Huntsville ,1,1
173,University of California at Santa Cruz ,1,1
173,University of Vermont ,1,1
