University,Rank,Score
Carnegie Mellon University,#1,5
Massachusetts Institute of Technology,#1,5
Stanford University,#1,5
University of California--Berkeley,#1,5
University of Illinois--Urbana-Champaign,#5,4.6
Cornell University,#6,4.5
University of Washington,#6,4.5
Georgia Institute of Technology,#8,4.4
Princeton University,#8,4.4
University of Texas--Austin,#10,4.3
California Institute of Technology,#11,4.2
University of Michigan--Ann Arbor,#11,4.2
Columbia University,#13,4.1
University of California--Los Angeles,#13,4.1
University of Wisconsin--Madison,#13,4.1
Harvard University,#16,4
University of California--San Diego,#16,4
University of Maryland--College Park,#16,4
University of Pennsylvania,#19,3.8
Purdue University--West Lafayette,#20,3.7
Rice University,#20,3.7
University of Massachusetts--Amherst,#20,3.7
University of Southern California,#20,3.7
Yale University,#20,3.7
Brown University,#25,3.6
Duke University,#25,3.6
Johns Hopkins University,#25,3.6
University of North Carolina--Chapel Hill,#25,3.6
University of Minnesota--Twin Cities,#29,3.5
New York University,#30,3.4
Northwestern University,#30,3.4
Ohio State University,#30,3.4
Pennsylvania State University--University Park,#30,3.4
University of California--Irvine,#30,3.4
University of Chicago,#30,3.4
University of Virginia,#30,3.4
Rutgers, NJ,#37
University of California--Davis,#37,3.3
University of California--Santa Barbara,#37,3.3
Stony Brook University--SUNY,#40,3.2
University of Colorado--Boulder,#40,3.2
Virginia Tech,#40,3.2
Arizona State University,#43,3.1
Dartmouth College,#43,3.1
North Carolina State University,#43,3.1
Texas A&M University--College Station,#43,3.1
University of Arizona,#43,3.1
University of Utah,#43,3.1
Boston University,#49,3
Northeastern University,#49,3
University of Florida,#49,3
University of Pittsburgh,#49,3
University of Rochester,#49,3
Washington University in St. Louis,#49,3
Indiana University--Bloomington,#55,2.9
Michigan State University,#55,2.9
Rensselaer Polytechnic Institute,#55,2.9
University of California--Santa Cruz,#58,2.8
University of Notre Dame,#58,2.8
Vanderbilt University,#58,2.8
Iowa State University,#61,2.7
University at Buffalo--SUNY,#61,2.7
University of California--Riverside,#61,2.7
University of Illinois--Chicago,#64,2.6
University of Iowa,#64,2.6
University of Oregon,#64,2.6
University of Texas--Dallas,#64,2.6
Case Western Reserve University,#68,2.5
George Mason University,#68,2.5
Oregon State University,#68,2.5
Rochester Institute of Technology,#68,2.5
Syracuse University,#68,2.5
University of Delaware,#68,2.5
William & Mary,#68,2.5
Colorado State University,#75,2.4
George Washington University,#75,2.4
Tufts University,#75,2.4
University of Nebraska--Lincoln,#75,2.4
University of New Mexico,#75,2.4
University of Tennessee--Knoxville,#75,2.4
Washington State University,#75,2.4
Clemson University,#82,2.3
CUNY Graduate School and University Center,#82,2.3
Drexel University,#82,2.3
Emory University,#82,2.3
Florida State University,#82,2.3
University of Central Florida,#82,2.3
University of Connecticut,#82,2.3
University of Maryland--Baltimore County,#82,2.3
Worcester Polytechnic Institute,#82,2.3
Auburn University,#91,2.2
Brandeis University,#91,2.2
Brigham Young University,#91,2.2
Colorado School of Mines,#91,2.2
Illinois Institute of Technology,#91,2.2
New Jersey Institute of Technology,#91,2.2
Stevens Institute of Technology,#91,2.2
University of Kansas,#91,2.2
University of Kentucky,#91,2.2
University of North Carolina--Charlotte,#91,2.2
University of Texas--Arlington,#91,2.2
Kansas State University,#102,2.1
Lehigh University,#102,2.1
Louisiana State University--Baton Rouge,#102,2.1
Temple University,#102,2.1
University of Georgia,#102,2.1
University of Houston,#102,2.1
University of Missouri,#102,2.1
University of South Florida,#102,2.1
Wayne State University,#102,2.1
Binghamton University--SUNY,#111,2
Missouri University of Science & Technology,#111,2
University at Albany--SUNY,#111,2
University of Alabama,#111,2
University of New Hampshire,#111,2
University of Oklahoma,#111,2
University of South Carolina,#111,2
West Virginia University,#111,2
Georgia State University,#119,1.9
Ohio University,#119,1.9
Portland State University,#119,1.9
Southern Methodist University,#119,1.9
Texas Tech University,#119,1.9
University of California--Merced,#119,1.9
University of Cincinnati,#119,1.9
University of Hawaii--Manoa,#119,1.9
University of Louisville,#119,1.9
University of Rhode Island,#119,1.9
University of Texas--San Antonio,#119,1.9
University of Vermont,#119,1.9
University of Wisconsin--Milwaukee,#119,1.9
Utah State University,#119,1.9
Claremont Graduate University,#133,1.8
Florida International University,#133,1.8
Indiana State University,#133,1.8
Marquette University,#133,1.8
Mississippi State University,#133,1.8
New Mexico State University,#133,1.8
Oklahoma State University,#133,1.8
Old Dominion University,#133,1.8
Oregon Health and Science University,#133,1.8
University of Alabama--Birmingham,#133,1.8
University of Colorado--Colorado Springs,#133,1.8
University of Louisiana--Lafayette,#133,1.8
University of Massachusetts--Boston,#133,1.8
Virginia Commonwealth University,#133,1.8
Clarkson University,#147,1.7
Dakota State University,#147,1.7
DePaul University,#147,1.7
Florida Atlantic University,#147,1.7
Michigan Technological University,#147,1.7
San Diego State University,#147,1.7
Southern Illinois University--Carbondale,#147,1.7
University of Alabama--Huntsville,#147,1.7
University of Arkansas--Fayetteville,#147,1.7
University of Colorado--Denver,#147,1.7
University of Idaho,#147,1.7
University of Maine,#147,1.7
University of Massachusetts--Lowell,#147,1.7
University of Memphis,#147,1.7
University of Mississippi,#147,1.7
University of Missouri--Kansas City,#147,1.7
University of Nebraska--Omaha,#147,1.7
University of Nevada--Reno,#147,1.7
University of North Texas,#147,1.7
University of Tulsa,#147,1.7
University of Wyoming,#147,1.7
Wright State University,#147,1.7
Air Force Institute of Technology,#169,1.6
Kent State University,#169,1.6
Louisiana Tech University,#169,1.6
Montana State University,#169,1.6
North Dakota State University,#169,1.6
University of Arkansas--Little Rock,#169,1.6
University of Puerto Rico--Mayaguez,#169,1.6
University of Texas--El Paso,#169,1.6
Florida Institute of Technology,#177,1.5
New Mexico Institute of Mining and Technology,#177,1.5
Towson University,#177,1.5
University of New Orleans,#177,1.5
Bowie State University,#181,1.4
University of Bridgeport,#181,1.4
University of Southern Mississippi,#181,1.4
Western Michigan University,#181,1.4
Oakland University,#185,1.3
LIU Post,#186,1.2
Nova Southeastern University,#186,1.2
Walden University,#186,1.2
